state,st_fips,year,n_deaths,pop,adj_rate,adj_rate_se,crude_rate,crude_lower,crude_upper,crude_se,adj_rate_lower,adj_rate_upper
Alabama,01,1999,169,4430141,3.852112492,0.296570286,3.814777001,3.239626007,4.389927996,0.293444385,3.270834731,4.433390253
Alabama,01,2000,197,4447100,4.485685711,0.319854862,4.429853163,3.811249782,5.048456543,0.31561397,3.858770182,5.112601241
Alabama,01,2001,216,4467634,4.891489312,0.333291753,4.834773842,4.190003045,5.47954464,0.328964693,4.238237476,5.544741149
Alabama,01,2002,211,4480089,4.76193705,0.328684844,4.709727865,4.074235031,5.345220698,0.324231037,4.117714755,5.406159345
Alabama,01,2003,197,4503491,4.433317553,0.317013716,4.374384228,3.763526763,4.985241692,0.311661972,3.81197067,5.054664437
Alabama,01,2004,283,4530729,6.354192454,0.37943859,6.246235429,5.518487124,6.973983735,0.371300156,5.610492817,7.097892091
Alabama,01,2005,283,4569805,6.33300637,0.378324655,6.19282442,5.471299026,6.914349814,0.368125201,5.591490046,7.074522693
Alabama,01,2006,398,4628981,8.749794091,0.441615021,8.598004615,7.753285719,9.442723511,0.430979029,7.884228649,9.615359533
Alabama,01,2007,511,4672840,11.088492041,0.495155858,10.935533851,9.98736516,11.883702542,0.483759536,10.117986559,12.058997523
Alabama,01,2008,607,4718206,12.98108828,0.532916078,12.865059304,11.841593072,13.888525537,0.522176649,11.936572768,14.025603793
Alabama,01,2009,630,4757938,13.607679813,0.548552356,13.241030043,12.207060925,14.274999161,0.527535264,12.532517195,14.682842431
Alabama,01,2010,547,4779736,11.768822316,0.509594629,11.444146706,10.485086603,12.403206809,0.489316379,10.770016844,12.767627788
Alabama,01,2011,552,4802740,11.763166882,0.508026286,11.493439162,10.534620377,12.452257946,0.489193257,10.767435362,12.758898402
Alabama,01,2012,562,4822023,12.070622184,0.517219373,11.654859382,10.691263464,12.6184553,0.49163057,11.056872213,13.084372155
Alabama,01,2013,598,4833722,12.717602346,0.529326649,12.37141896,11.379845272,13.362992648,0.505904943,11.680122113,13.755082579
Alabama,01,2014,723,4849377,15.153214361,0.574844311,14.909131627,13.822357547,15.995905706,0.554476571,14.026519511,16.279909211
Alabama,01,2015,736,4858979,15.663947845,0.588589457,15.147215084,14.052880923,16.241549245,0.558333756,14.510312509,16.817583181
Alabama,01,2016,756,4863300,16.207536002,0.602414074,15.545000308,14.436882566,16.653118051,0.565366195,15.026804418,17.388267587
Alabama,01,2017,835,4874747,17.980344761,0.63576251,17.129094084,15.967251666,18.290936503,0.592776744,16.734250242,19.226439281
Alabama,01,2018,775,4887871,16.609244971,0.61154291,15.85557393,14.739257833,16.971890026,0.569549029,15.410620868,17.807869073
Alabama,01,2019,768,4903185,16.33475154,0.604299205,15.66328825,14.555495799,16.771080702,0.565200231,15.150325099,17.519177982
Alaska,02,1999,46,624779,7.463832182,1.21169805,7.362603417,5.390382839,9.820682193,1.08555665,5.281855482,10.244706776
Alaska,02,2000,48,626932,7.107712404,1.029708405,7.656332744,5.645167259,10.151148769,1.105096443,5.24065851,9.423760491
Alaska,02,2001,62,633714,9.398279306,1.204746722,9.78359323,7.500983093,12.542077341,1.242517583,7.188931807,12.0724657
Alaska,02,2002,84,642337,12.199511949,1.335117934,13.077247613,10.430935786,16.190547952,1.426844692,9.716789273,15.123124988
Alaska,02,2003,83,648414,12.724505632,1.451040221,12.800463901,10.195441493,15.868095075,1.405033448,10.041925355,15.903468874
Alaska,02,2004,86,659286,12.716423752,1.396820605,13.044414715,10.433835998,16.109721729,1.406615414,10.128504354,15.763914704
Alaska,02,2005,79,666946,11.374383301,1.296908312,11.84503693,9.377834187,14.762469525,1.332670774,8.976435814,14.216045482
Alaska,02,2006,76,675302,11.060383161,1.298436507,11.254224036,8.867090576,14.086349515,1.290948033,8.669570737,13.906772768
Alaska,02,2007,72,680300,10.094101033,1.205523663,10.583566074,8.281005439,13.328202264,1.247285223,7.86885646,12.753291009
Alaska,02,2008,127,687455,18.134487421,1.649539299,18.473936476,15.26091479,21.686958162,1.639296779,14.901390396,21.367584447
Alaska,02,2009,131,698895,17.852794881,1.596310893,18.743874259,15.534060859,21.953687658,1.637659898,14.724025531,20.981564231
Alaska,02,2010,83,710231,11.596243848,1.304707498,11.68633867,9.308051887,14.486969732,1.282742316,9.180862217,14.452398707
Alaska,02,2011,107,722718,14.236350852,1.404752167,14.8052214,11.99992284,17.61051996,1.431274776,11.483036605,16.989665099
Alaska,02,2012,129,731449,17.42505273,1.582339457,17.636226176,14.592771237,20.679681114,1.552783132,14.323667394,20.526438066
Alaska,02,2013,105,735132,14.351896534,1.444478295,14.283149149,11.551119595,17.015178703,1.39389263,11.520719076,17.183073992
Alaska,02,2014,124,736732,16.758502704,1.549815034,16.831086474,13.868593152,19.793579796,1.511476185,13.720865237,19.796140171
Alaska,02,2015,122,738432,15.960601666,1.481522259,16.521494193,13.58975402,19.453234366,1.495785802,13.056818039,18.864385292
Alaska,02,2016,128,741894,16.833122831,1.521667897,17.253138589,14.264184822,20.242092355,1.524976412,13.850653753,19.815591909
Alaska,02,2017,147,739795,20.16016988,1.703729987,19.870369494,16.658163805,23.082575184,1.638880454,16.820859105,23.499480655
Alaska,02,2018,110,737438,14.611302285,1.426773923,14.916508235,12.128931053,17.704085418,1.422233256,11.814825395,17.407779174
Alaska,02,2019,132,731545,17.78743396,1.583981769,18.044002761,14.965766211,21.122239312,1.570528852,14.682829693,20.892038226
Arizona,04,1999,511,5023823,10.554914296,0.469040782,10.171536696,9.289610604,11.053462788,0.449962292,9.635594362,11.474234229
Arizona,04,2000,522,5130632,10.58963832,0.465018535,10.174185169,9.301373674,11.046996664,0.445311987,9.678201991,11.501074649
Arizona,04,2001,552,5273477,10.900836448,0.465666953,10.46747715,9.594247338,11.340706962,0.445525414,9.98812922,11.813543677
Arizona,04,2002,624,5396255,12.005035209,0.484034924,11.563575109,10.656264681,12.470885537,0.462913483,11.056326758,12.95374366
Arizona,04,2003,674,5510364,12.740492696,0.493386297,12.231496867,11.308063142,13.154930592,0.471139656,11.773455554,13.707529838
Arizona,04,2004,744,5652404,13.681561878,0.504883548,13.162541106,12.216719253,14.108362959,0.48256217,12.691990124,14.671133632
Arizona,04,2005,794,5839077,14.134966722,0.504202647,13.598039553,12.652189875,14.543889231,0.482576366,13.146729533,15.123203911
Arizona,04,2006,876,6029141,14.916319044,0.509199622,14.529432966,13.567261033,15.491604898,0.490904047,13.918287785,15.914350303
Arizona,04,2007,943,6167681,15.711691896,0.515233631,15.289376996,14.313511384,16.265242608,0.497890618,14.70183398,16.721549812
Arizona,04,2008,828,6280362,13.545481446,0.474600986,13.183953409,12.285932264,14.081974554,0.458174053,12.615263513,14.47569938
Arizona,04,2009,1002,6343154,16.133841782,0.514818556,15.79655799,14.818454797,16.774661183,0.499032241,15.124797413,17.142886152
Arizona,04,2010,1098,6392017,17.497699091,0.534056998,17.177676467,16.161616548,18.193736387,0.518397918,16.450947375,18.544450808
Arizona,04,2011,1071,6482505,16.85318504,0.522131625,16.521391036,15.531908927,17.510873146,0.504837811,15.829807054,17.876563025
Arizona,04,2012,1134,6553255,17.679678508,0.533020917,17.304377748,16.297201371,18.311554125,0.513865499,16.63495751,18.724399506
Arizona,04,2013,1222,6626624,18.737632867,0.545148041,18.440762597,17.406813054,19.474712139,0.527525277,17.669142706,19.806123028
Arizona,04,2014,1211,6731484,18.168484865,0.532344152,17.990089555,16.976837893,19.003341218,0.516965134,17.125090329,19.211879402
Arizona,04,2015,1274,6828065,19.016050184,0.543578057,18.658287524,17.633713977,19.68286107,0.522741605,17.950637193,20.081463176
Arizona,04,2016,1382,6931071,20.269723363,0.556793878,19.93919843,18.887939385,20.990457474,0.536356655,19.178407363,21.361039364
Arizona,04,2017,1532,7016270,22.231850538,0.580822164,21.834963592,20.741563362,22.928363822,0.55785726,21.093439095,23.37026198
Arizona,04,2018,1670,7171646,23.811909191,0.595463281,23.286146583,22.169295004,24.402998163,0.569822234,22.64480116,24.979017221
Arizona,04,2019,1907,7278717,26.818101619,0.627830926,26.199672277,25.023755508,27.375589047,0.599957535,25.587553004,28.048650235
Arkansas,05,1999,113,2651860,4.416132239,0.416241096,4.261160091,3.475481896,5.046838287,0.400856222,3.600299692,5.231964787
Arkansas,05,2000,140,2673400,5.388659666,0.456317521,5.236777138,4.36930378,6.104250496,0.442588448,4.494277325,6.283042008
Arkansas,05,2001,126,2691571,4.846015741,0.432664384,4.681280932,3.863879294,5.49868257,0.417041652,3.997993548,5.694037935
Arkansas,05,2002,176,2705927,6.827417208,0.516175306,6.504240506,5.543300379,7.465180633,0.490275575,5.815713608,7.839120809
Arkansas,05,2003,184,2724816,7.031367563,0.52036454,6.752749544,5.777023713,7.728475374,0.497819301,6.011453064,8.051282063
Arkansas,05,2004,230,2749686,8.653402386,0.573704467,8.364591448,7.283563587,9.445619309,0.551544827,7.52894163,9.777863141
Arkansas,05,2005,269,2781097,10.073544213,0.61799551,9.672442205,8.516553354,10.828331056,0.58973921,8.862273013,11.284815413
Arkansas,05,2006,285,2821761,10.453924996,0.623785029,10.100075804,8.927453164,11.272698443,0.598276857,9.231306339,11.676543652
Arkansas,05,2007,301,2848650,10.888633272,0.633238001,10.56640865,9.372694817,11.760122482,0.60903767,9.64748679,12.129779754
Arkansas,05,2008,360,2874554,13.051205542,0.695001858,12.523681935,11.229972188,13.817391682,0.660055993,11.6890019,14.413409184
Arkansas,05,2009,351,2896843,12.597458885,0.680356852,12.116638699,10.849031576,13.384245823,0.646738328,11.263959455,13.930958316
Arkansas,05,2010,350,2915918,12.514572539,0.678117599,12.003081019,10.74556135,13.260600689,0.641591668,11.185462044,13.843683034
Arkansas,05,2011,355,2937979,12.640106413,0.680595193,12.08313606,10.826175762,13.340096359,0.641306275,11.306139835,13.974072991
Arkansas,05,2012,373,2949131,13.096182503,0.68931256,12.647793537,11.364232802,13.931354271,0.654877926,11.745129885,14.447235121
Arkansas,05,2013,319,2959373,11.071252445,0.630979082,10.779310347,9.59640034,11.962220354,0.603525514,9.834533444,12.307971446
Arkansas,05,2014,356,2966369,12.550044289,0.677179807,12.001204166,10.75452157,13.247886761,0.636062549,11.222771867,13.877316711
Arkansas,05,2015,392,2978204,13.845441255,0.713263077,13.162295128,11.859294388,14.465295868,0.664796296,12.447445624,15.243436885
Arkansas,05,2016,401,2988248,13.991711066,0.713832783,13.41923428,12.105790101,14.73267846,0.670124581,12.592598811,15.39082332
Arkansas,05,2017,446,3004279,15.488022905,0.749392732,14.845492047,13.467701379,16.223282714,0.702954422,14.01921315,16.956832661
Arkansas,05,2018,444,3013825,15.73681004,0.761327973,14.732109529,13.361765772,16.102453285,0.699154978,14.244607214,17.229012866
Arkansas,05,2019,388,3017804,13.549090697,0.702615322,12.857031139,11.577706087,14.136356191,0.652716863,12.171964665,14.926216729
California,06,1999,2662,33499204,8.059904305,0.156983979,7.946457474,7.644583544,8.248331404,0.154017311,7.752215708,8.367592903
California,06,2000,1941,33871648,5.8355144,0.133031214,5.730456339,5.47551955,5.985393128,0.13006979,5.57477322,6.096255579
California,06,2001,1226,34479458,3.61857794,0.103796271,3.555740348,3.356700113,3.754780584,0.10155114,3.415137248,3.822018631
California,06,2002,2975,34871843,8.67033787,0.159291109,8.531238226,8.224671754,8.837804697,0.156411465,8.358127297,8.982548443
California,06,2003,3108,35253159,8.928254151,0.160501399,8.816231192,8.506276271,9.126186114,0.158140266,8.613671409,9.242836893
California,06,2004,3125,35574576,8.81907538,0.158100177,8.784363305,8.476369948,9.092356662,0.157139468,8.509199033,9.128951726
California,06,2005,3214,35827943,8.973540872,0.158702243,8.970651762,8.660512226,9.280791298,0.158234457,8.662484476,9.284597269
California,06,2006,3494,36021202,9.603136451,0.162969552,9.699842887,9.378210835,10.021474939,0.164097985,9.283716128,9.922556773
California,06,2007,3854,36250311,10.480681077,0.169517806,10.631632926,10.295972463,10.967293389,0.171255338,10.148426178,10.812935976
California,06,2008,3863,36604337,10.370548779,0.167789323,10.55339426,10.220592297,10.886196224,0.16979692,10.041681707,10.699415852
California,06,2009,4056,36961229,10.736874389,0.169750302,10.973661076,10.635939629,11.311382523,0.172306861,10.404163798,11.06958498
California,06,2010,4057,37253956,10.559833967,0.167145729,10.890118623,10.555009556,11.225227689,0.170974013,10.232228339,10.887439595
California,06,2011,4180,37691912,10.73440309,0.167617843,11.08991234,10.753713629,11.426111051,0.171529954,10.405872118,11.062934063
California,06,2012,4040,38041430,10.292326934,0.163653219,10.620000352,10.292516478,10.947484227,0.167083609,9.971566624,10.613087243
California,06,2013,4452,38332521,11.137936313,0.16888105,11.614159163,11.272992752,11.955325574,0.174064495,10.806929455,11.468943171
California,06,2014,4521,38802500,11.102038576,0.167346859,11.651311127,11.311675205,11.990947049,0.173283634,10.774038732,11.430038419
California,06,2015,4659,39144818,11.321919353,0.168367337,11.901958517,11.560193074,12.243723961,0.174370124,10.991919373,11.651919333
California,06,2016,4654,39250017,11.221793854,0.16726971,11.857319705,11.516653218,12.197986192,0.173809432,10.893945223,11.549642484
California,06,2017,4868,39536653,11.651100357,0.169808528,12.312625452,11.966740669,12.658510234,0.176471828,11.318275643,11.983925071
California,06,2018,5348,39557045,12.830312469,0.178637667,13.519715641,13.157365922,13.88206536,0.184872306,12.480182642,13.180442297
California,06,2019,6198,39512223,14.978429929,0.193661574,15.686285229,15.295758833,16.076811624,0.199248161,14.598853244,15.358006614
Colorado,08,1999,349,4226018,7.989513594,0.429985804,8.258365203,7.391927301,9.124803106,0.442060154,7.146741418,8.83228577
Colorado,08,2000,352,4301261,7.883883431,0.42215653400000003,8.18364661,7.328714543,9.038578676,0.43618983,7.056456624,8.711310238
Colorado,08,2001,411,4425687,8.989602466,0.445510051,9.286693795,8.388859301,10.184528288,0.458078823,8.116402765,9.862802166
Colorado,08,2002,448,4490406,9.716878342,0.46110082,9.976826149,9.052959119,10.900693179,0.47136073,8.813120735,10.620635949
Colorado,08,2003,502,4528732,10.749725034,0.481704278,11.084780464,10.115094054,12.054466874,0.494737964,9.805584649,11.693865418
Colorado,08,2004,518,4575013,10.939268165,0.482726814,11.322372199,10.34731831,12.297426088,0.497476474,9.99312361,11.885412721
Colorado,08,2005,608,4631888,12.691290877,0.517654103,13.126396839,12.082999291,14.169794386,0.532345687,11.676688835,13.70589292
Colorado,08,2006,627,4720423,12.823946118,0.514930846,13.282707927,12.24300582,14.322410034,0.530460259,11.814681661,13.833210575
Colorado,08,2007,734,4803868,14.729949889,0.547513746,15.279354054,14.173970406,16.384737702,0.563971249,13.656822947,15.803076832
