state,st_fips,year,n_deaths,pop,crude_rate,crude_lower,crude_upper,crude_se
Alabama,01,1999,169,4430141,3.814777001,3.239626007,4.389927996,0.293444385
Alabama,01,2000,197,4447100,4.429853163,3.811249782,5.048456543,0.31561397
Alabama,01,2001,216,4467634,4.834773842,4.190003045,5.47954464,0.328964693
Alabama,01,2002,211,4480089,4.709727865,4.074235031,5.345220698,0.324231037
Alabama,01,2003,197,4503491,4.374384228,3.763526763,4.985241692,0.311661972
Alabama,01,2004,283,4530729,6.246235429,5.518487124,6.973983735,0.371300156
Alabama,01,2005,283,4569805,6.19282442,5.471299026,6.914349814,0.368125201
Alabama,01,2006,398,4628981,8.598004615,7.753285719,9.442723511,0.430979029
Alabama,01,2007,511,4672840,10.935533851,9.98736516,11.883702542,0.483759536
Alabama,01,2008,607,4718206,12.865059304,11.841593072,13.888525537,0.522176649
Alabama,01,2009,630,4757938,13.241030043,12.207060925,14.274999161,0.527535264
Alabama,01,2010,547,4779736,11.444146706,10.485086603,12.403206809,0.489316379
Alabama,01,2011,552,4802740,11.493439162,10.534620377,12.452257946,0.489193257
Alabama,01,2012,562,4822023,11.654859382,10.691263464,12.6184553,0.49163057
Alabama,01,2013,598,4833722,12.37141896,11.379845272,13.362992648,0.505904943
Alabama,01,2014,723,4849377,14.909131627,13.822357547,15.995905706,0.554476571
Alabama,01,2015,736,4858979,15.147215084,14.052880923,16.241549245,0.558333756
Alabama,01,2016,756,4863300,15.545000308,14.436882566,16.653118051,0.565366195
Alabama,01,2017,835,4874747,17.129094084,15.967251666,18.290936503,0.592776744
Alabama,01,2018,775,4887871,15.85557393,14.739257833,16.971890026,0.569549029
Alabama,01,2019,768,4903185,15.66328825,14.555495799,16.771080702,0.565200231
Alaska,02,1999,46,624779,7.362603417,5.390382839,9.820682193,1.08555665
Alaska,02,2000,48,626932,7.656332744,5.645167259,10.151148769,1.105096443
Alaska,02,2001,62,633714,9.78359323,7.500983093,12.542077341,1.242517583
Alaska,02,2002,84,642337,13.077247613,10.430935786,16.190547952,1.426844692
Alaska,02,2003,83,648414,12.800463901,10.195441493,15.868095075,1.405033448
Alaska,02,2004,86,659286,13.044414715,10.433835998,16.109721729,1.406615414
Alaska,02,2005,79,666946,11.84503693,9.377834187,14.762469525,1.332670774
Alaska,02,2006,76,675302,11.254224036,8.867090576,14.086349515,1.290948033
Alaska,02,2007,72,680300,10.583566074,8.281005439,13.328202264,1.247285223
Alaska,02,2008,127,687455,18.473936476,15.26091479,21.686958162,1.639296779
Alaska,02,2009,131,698895,18.743874259,15.534060859,21.953687658,1.637659898
Alaska,02,2010,83,710231,11.68633867,9.308051887,14.486969732,1.282742316
Alaska,02,2011,107,722718,14.8052214,11.99992284,17.61051996,1.431274776
Alaska,02,2012,129,731449,17.636226176,14.592771237,20.679681114,1.552783132
Alaska,02,2013,105,735132,14.283149149,11.551119595,17.015178703,1.39389263
Alaska,02,2014,124,736732,16.831086474,13.868593152,19.793579796,1.511476185
Alaska,02,2015,122,738432,16.521494193,13.58975402,19.453234366,1.495785802
Alaska,02,2016,128,741894,17.253138589,14.264184822,20.242092355,1.524976412
Alaska,02,2017,147,739795,19.870369494,16.658163805,23.082575184,1.638880454
Alaska,02,2018,110,737438,14.916508235,12.128931053,17.704085418,1.422233256
Alaska,02,2019,132,731545,18.044002761,14.965766211,21.122239312,1.570528852
Arizona,04,1999,511,5023823,10.171536696,9.289610604,11.053462788,0.449962292
Arizona,04,2000,522,5130632,10.174185169,9.301373674,11.046996664,0.445311987
Arizona,04,2001,552,5273477,10.46747715,9.594247338,11.340706962,0.445525414
Arizona,04,2002,624,5396255,11.563575109,10.656264681,12.470885537,0.462913483
Arizona,04,2003,674,5510364,12.231496867,11.308063142,13.154930592,0.471139656
Arizona,04,2004,744,5652404,13.162541106,12.216719253,14.108362959,0.48256217
Arizona,04,2005,794,5839077,13.598039553,12.652189875,14.543889231,0.482576366
Arizona,04,2006,876,6029141,14.529432966,13.567261033,15.491604898,0.490904047
Arizona,04,2007,943,6167681,15.289376996,14.313511384,16.265242608,0.497890618
Arizona,04,2008,828,6280362,13.183953409,12.285932264,14.081974554,0.458174053
Arizona,04,2009,1002,6343154,15.79655799,14.818454797,16.774661183,0.499032241
Arizona,04,2010,1098,6392017,17.177676467,16.161616548,18.193736387,0.518397918
Arizona,04,2011,1071,6482505,16.521391036,15.531908927,17.510873146,0.504837811
Arizona,04,2012,1134,6553255,17.304377748,16.297201371,18.311554125,0.513865499
Arizona,04,2013,1222,6626624,18.440762597,17.406813054,19.474712139,0.527525277
