"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"1999"	"1999"	169	4430141	3.814777001	3.239626007	4.389927996	0.293444385	3.852112492	3.270834731	4.433390253	0.296570286
	"Alabama"	"01"	"2000"	"2000"	197	4447100	4.429853163	3.811249782	5.048456543	0.315613970	4.485685711	3.858770182	5.112601241	0.319854862
	"Alabama"	"01"	"2001"	"2001"	216	4467634	4.834773842	4.190003045	5.479544640	0.328964693	4.891489312	4.238237476	5.544741149	0.333291753
	"Alabama"	"01"	"2002"	"2002"	211	4480089	4.709727865	4.074235031	5.345220698	0.324231037	4.761937050	4.117714755	5.406159345	0.328684844
	"Alabama"	"01"	"2003"	"2003"	197	4503491	4.374384228	3.763526763	4.985241692	0.311661972	4.433317553	3.811970670	5.054664437	0.317013716
	"Alabama"	"01"	"2004"	"2004"	283	4530729	6.246235429	5.518487124	6.973983735	0.371300156	6.354192454	5.610492817	7.097892091	0.379438590
	"Alabama"	"01"	"2005"	"2005"	283	4569805	6.192824420	5.471299026	6.914349814	0.368125201	6.333006370	5.591490046	7.074522693	0.378324655
	"Alabama"	"01"	"2006"	"2006"	398	4628981	8.598004615	7.753285719	9.442723511	0.430979029	8.749794091	7.884228649	9.615359533	0.441615021
	"Alabama"	"01"	"2007"	"2007"	511	4672840	10.935533851	9.987365160	11.883702542	0.483759536	11.088492041	10.117986559	12.058997523	0.495155858
	"Alabama"	"01"	"2008"	"2008"	607	4718206	12.865059304	11.841593072	13.888525537	0.522176649	12.981088280	11.936572768	14.025603793	0.532916078
	"Alabama"	"01"	"2009"	"2009"	630	4757938	13.241030043	12.207060925	14.274999161	0.527535264	13.607679813	12.532517195	14.682842431	0.548552356
	"Alabama"	"01"	"2010"	"2010"	547	4779736	11.444146706	10.485086603	12.403206809	0.489316379	11.768822316	10.770016844	12.767627788	0.509594629
	"Alabama"	"01"	"2011"	"2011"	552	4802740	11.493439162	10.534620377	12.452257946	0.489193257	11.763166882	10.767435362	12.758898402	0.508026286
	"Alabama"	"01"	"2012"	"2012"	562	4822023	11.654859382	10.691263464	12.618455300	0.491630570	12.070622184	11.056872213	13.084372155	0.517219373
	"Alabama"	"01"	"2013"	"2013"	598	4833722	12.371418960	11.379845272	13.362992648	0.505904943	12.717602346	11.680122113	13.755082579	0.529326649
	"Alabama"	"01"	"2014"	"2014"	723	4849377	14.909131627	13.822357547	15.995905706	0.554476571	15.153214361	14.026519511	16.279909211	0.574844311
	"Alabama"	"01"	"2015"	"2015"	736	4858979	15.147215084	14.052880923	16.241549245	0.558333756	15.663947845	14.510312509	16.817583181	0.588589457
	"Alabama"	"01"	"2016"	"2016"	756	4863300	15.545000308	14.436882566	16.653118051	0.565366195	16.207536002	15.026804418	17.388267587	0.602414074
	"Alabama"	"01"	"2017"	"2017"	835	4874747	17.129094084	15.967251666	18.290936503	0.592776744	17.980344761	16.734250242	19.226439281	0.635762510
	"Alabama"	"01"	"2018"	"2018"	775	4887871	15.855573930	14.739257833	16.971890026	0.569549029	16.609244971	15.410620868	17.807869073	0.611542910
	"Alabama"	"01"	"2019"	"2019"	768	4903185	15.663288250	14.555495799	16.771080702	0.565200231	16.334751540	15.150325099	17.519177982	0.604299205
	"Alabama"	"01"	"2020 "	"2020"	1029	4921532	20.908123731	19.630616269	22.185631192	0.651789521	22.337306663	20.940106634	23.734506691	0.712857157
"Total"	"Alabama"	"01"			11583	103604166	11.180052354	10.976446913	11.383657796	0.103880327	11.451469116	11.240622672	11.662315560	0.107574716
	"Alaska"	"02"	"1999"	"1999"	46	624779	7.362603417	5.390382839	9.820682193	1.085556650	7.463832182	5.281855482	10.244706776	1.211698050
	"Alaska"	"02"	"2000"	"2000"	48	626932	7.656332744	5.645167259	10.151148769	1.105096443	7.107712404	5.240658510	9.423760491	1.029708405
	"Alaska"	"02"	"2001"	"2001"	62	633714	9.783593230	7.500983093	12.542077341	1.242517583	9.398279306	7.188931807	12.072465700	1.204746722
	"Alaska"	"02"	"2002"	"2002"	84	642337	13.077247613	10.430935786	16.190547952	1.426844692	12.199511949	9.716789273	15.123124988	1.335117934
	"Alaska"	"02"	"2003"	"2003"	83	648414	12.800463901	10.195441493	15.868095075	1.405033448	12.724505632	10.041925355	15.903468874	1.451040221
	"Alaska"	"02"	"2004"	"2004"	86	659286	13.044414715	10.433835998	16.109721729	1.406615414	12.716423752	10.128504354	15.763914704	1.396820605
	"Alaska"	"02"	"2005"	"2005"	79	666946	11.845036930	9.377834187	14.762469525	1.332670774	11.374383301	8.976435814	14.216045482	1.296908312
	"Alaska"	"02"	"2006"	"2006"	76	675302	11.254224036	8.867090576	14.086349515	1.290948033	11.060383161	8.669570737	13.906772768	1.298436507
	"Alaska"	"02"	"2007"	"2007"	72	680300	10.583566074	8.281005439	13.328202264	1.247285223	10.094101033	7.868856460	12.753291009	1.205523663
	"Alaska"	"02"	"2008"	"2008"	127	687455	18.473936476	15.260914790	21.686958162	1.639296779	18.134487421	14.901390396	21.367584447	1.649539299
	"Alaska"	"02"	"2009"	"2009"	131	698895	18.743874259	15.534060859	21.953687658	1.637659898	17.852794881	14.724025531	20.981564231	1.596310893
	"Alaska"	"02"	"2010"	"2010"	83	710231	11.686338670	9.308051887	14.486969732	1.282742316	11.596243848	9.180862217	14.452398707	1.304707498
	"Alaska"	"02"	"2011"	"2011"	107	722718	14.805221400	11.999922840	17.610519960	1.431274776	14.236350852	11.483036605	16.989665099	1.404752167
	"Alaska"	"02"	"2012"	"2012"	129	731449	17.636226176	14.592771237	20.679681114	1.552783132	17.425052730	14.323667394	20.526438066	1.582339457
	"Alaska"	"02"	"2013"	"2013"	105	735132	14.283149149	11.551119595	17.015178703	1.393892630	14.351896534	11.520719076	17.183073992	1.444478295
	"Alaska"	"02"	"2014"	"2014"	124	736732	16.831086474	13.868593152	19.793579796	1.511476185	16.758502704	13.720865237	19.796140171	1.549815034
	"Alaska"	"02"	"2015"	"2015"	122	738432	16.521494193	13.589754020	19.453234366	1.495785802	15.960601666	13.056818039	18.864385292	1.481522259
	"Alaska"	"02"	"2016"	"2016"	128	741894	17.253138589	14.264184822	20.242092355	1.524976412	16.833122831	13.850653753	19.815591909	1.521667897
	"Alaska"	"02"	"2017"	"2017"	147	739795	19.870369494	16.658163805	23.082575184	1.638880454	20.160169880	16.820859105	23.499480655	1.703729987
	"Alaska"	"02"	"2018"	"2018"	110	737438	14.916508235	12.128931053	17.704085418	1.422233256	14.611302285	11.814825395	17.407779174	1.426773923
	"Alaska"	"02"	"2019"	"2019"	132	731545	18.044002761	14.965766211	21.122239312	1.570528852	17.787433960	14.682829693	20.892038226	1.583981769
	"Alaska"	"02"	"2020 "	"2020"	160	731158	21.883095035	18.492274330	25.273915741	1.730010564	21.987119088	18.513281302	25.460956873	1.772366217
"Total"	"Alaska"	"02"			2241	15300884	14.646212598	14.039810805	15.252614391	0.309388670	14.390452045	13.786603782	14.994300308	0.308085849
	"Arizona"	"04"	"1999"	"1999"	511	5023823	10.171536696	9.289610604	11.053462788	0.449962292	10.554914296	9.635594362	11.474234229	0.469040782
	"Arizona"	"04"	"2000"	"2000"	522	5130632	10.174185169	9.301373674	11.046996664	0.445311987	10.589638320	9.678201991	11.501074649	0.465018535
	"Arizona"	"04"	"2001"	"2001"	552	5273477	10.467477150	9.594247338	11.340706962	0.445525414	10.900836448	9.988129220	11.813543677	0.465666953
	"Arizona"	"04"	"2002"	"2002"	624	5396255	11.563575109	10.656264681	12.470885537	0.462913483	12.005035209	11.056326758	12.953743660	0.484034924
	"Arizona"	"04"	"2003"	"2003"	674	5510364	12.231496867	11.308063142	13.154930592	0.471139656	12.740492696	11.773455554	13.707529838	0.493386297
	"Arizona"	"04"	"2004"	"2004"	744	5652404	13.162541106	12.216719253	14.108362959	0.482562170	13.681561878	12.691990124	14.671133632	0.504883548
	"Arizona"	"04"	"2005"	"2005"	794	5839077	13.598039553	12.652189875	14.543889231	0.482576366	14.134966722	13.146729533	15.123203911	0.504202647
	"Arizona"	"04"	"2006"	"2006"	876	6029141	14.529432966	13.567261033	15.491604898	0.490904047	14.916319044	13.918287785	15.914350303	0.509199622
	"Arizona"	"04"	"2007"	"2007"	943	6167681	15.289376996	14.313511384	16.265242608	0.497890618	15.711691896	14.701833980	16.721549812	0.515233631
	"Arizona"	"04"	"2008"	"2008"	828	6280362	13.183953409	12.285932264	14.081974554	0.458174053	13.545481446	12.615263513	14.475699380	0.474600986
	"Arizona"	"04"	"2009"	"2009"	1002	6343154	15.796557990	14.818454797	16.774661183	0.499032241	16.133841782	15.124797413	17.142886152	0.514818556
	"Arizona"	"04"	"2010"	"2010"	1098	6392017	17.177676467	16.161616548	18.193736387	0.518397918	17.497699091	16.450947375	18.544450808	0.534056998
	"Arizona"	"04"	"2011"	"2011"	1071	6482505	16.521391036	15.531908927	17.510873146	0.504837811	16.853185040	15.829807054	17.876563025	0.522131625
	"Arizona"	"04"	"2012"	"2012"	1134	6553255	17.304377748	16.297201371	18.311554125	0.513865499	17.679678508	16.634957510	18.724399506	0.533020917
	"Arizona"	"04"	"2013"	"2013"	1222	6626624	18.440762597	17.406813054	19.474712139	0.527525277	18.737632867	17.669142706	19.806123028	0.545148041
	"Arizona"	"04"	"2014"	"2014"	1211	6731484	17.990089555	16.976837893	19.003341218	0.516965134	18.168484865	17.125090329	19.211879402	0.532344152
	"Arizona"	"04"	"2015"	"2015"	1274	6828065	18.658287524	17.633713977	19.682861070	0.522741605	19.016050184	17.950637193	20.081463176	0.543578057
	"Arizona"	"04"	"2016"	"2016"	1382	6931071	19.939198430	18.887939385	20.990457474	0.536356655	20.269723363	19.178407363	21.361039364	0.556793878
	"Arizona"	"04"	"2017"	"2017"	1532	7016270	21.834963592	20.741563362	22.928363822	0.557857260	22.231850538	21.093439095	23.370261980	0.580822164
	"Arizona"	"04"	"2018"	"2018"	1670	7171646	23.286146583	22.169295004	24.402998163	0.569822234	23.811909191	22.644801160	24.979017221	0.595463281
	"Arizona"	"04"	"2019"	"2019"	1907	7278717	26.199672277	25.023755508	27.375589047	0.599957535	26.818101619	25.587553004	28.048650235	0.627830926
	"Arizona"	"04"	"2020 "	"2020"	2550	7421401	34.360089153	33.026444085	35.693734221	0.680431157	35.750301630	34.335643482	37.164959777	0.721764361
"Total"	"Arizona"	"04"			24121	138079425	17.468931378	17.248473940	17.689388816	0.112478285	17.959415384	17.730272634	18.188558134	0.116909566
	"Arkansas"	"05"	"1999"	"1999"	113	2651860	4.261160091	3.475481896	5.046838287	0.400856222	4.416132239	3.600299692	5.231964787	0.416241096
	"Arkansas"	"05"	"2000"	"2000"	140	2673400	5.236777138	4.369303780	6.104250496	0.442588448	5.388659666	4.494277325	6.283042008	0.456317521
	"Arkansas"	"05"	"2001"	"2001"	126	2691571	4.681280932	3.863879294	5.498682570	0.417041652	4.846015741	3.997993548	5.694037935	0.432664384
	"Arkansas"	"05"	"2002"	"2002"	176	2705927	6.504240506	5.543300379	7.465180633	0.490275575	6.827417208	5.815713608	7.839120809	0.516175306
	"Arkansas"	"05"	"2003"	"2003"	184	2724816	6.752749544	5.777023713	7.728475374	0.497819301	7.031367563	6.011453064	8.051282063	0.520364540
	"Arkansas"	"05"	"2004"	"2004"	230	2749686	8.364591448	7.283563587	9.445619309	0.551544827	8.653402386	7.528941630	9.777863141	0.573704467
	"Arkansas"	"05"	"2005"	"2005"	269	2781097	9.672442205	8.516553354	10.828331056	0.589739210	10.073544213	8.862273013	11.284815413	0.617995510
	"Arkansas"	"05"	"2006"	"2006"	285	2821761	10.100075804	8.927453164	11.272698443	0.598276857	10.453924996	9.231306339	11.676543652	0.623785029
	"Arkansas"	"05"	"2007"	"2007"	301	2848650	10.566408650	9.372694817	11.760122482	0.609037670	10.888633272	9.647486790	12.129779754	0.633238001
	"Arkansas"	"05"	"2008"	"2008"	360	2874554	12.523681935	11.229972188	13.817391682	0.660055993	13.051205542	11.689001900	14.413409184	0.695001858
	"Arkansas"	"05"	"2009"	"2009"	351	2896843	12.116638699	10.849031576	13.384245823	0.646738328	12.597458885	11.263959455	13.930958316	0.680356852
	"Arkansas"	"05"	"2010"	"2010"	350	2915918	12.003081019	10.745561350	13.260600689	0.641591668	12.514572539	11.185462044	13.843683034	0.678117599
	"Arkansas"	"05"	"2011"	"2011"	355	2937979	12.083136060	10.826175762	13.340096359	0.641306275	12.640106413	11.306139835	13.974072991	0.680595193
	"Arkansas"	"05"	"2012"	"2012"	373	2949131	12.647793537	11.364232802	13.931354271	0.654877926	13.096182503	11.745129885	14.447235121	0.689312560
	"Arkansas"	"05"	"2013"	"2013"	319	2959373	10.779310347	9.596400340	11.962220354	0.603525514	11.071252445	9.834533444	12.307971446	0.630979082
	"Arkansas"	"05"	"2014"	"2014"	356	2966369	12.001204166	10.754521570	13.247886761	0.636062549	12.550044289	11.222771867	13.877316711	0.677179807
	"Arkansas"	"05"	"2015"	"2015"	392	2978204	13.162295128	11.859294388	14.465295868	0.664796296	13.845441255	12.447445624	15.243436885	0.713263077
	"Arkansas"	"05"	"2016"	"2016"	401	2988248	13.419234280	12.105790101	14.732678460	0.670124581	13.991711066	12.592598811	15.390823320	0.713832783
	"Arkansas"	"05"	"2017"	"2017"	446	3004279	14.845492047	13.467701379	16.223282714	0.702954422	15.488022905	14.019213150	16.956832661	0.749392732
	"Arkansas"	"05"	"2018"	"2018"	444	3013825	14.732109529	13.361765772	16.102453285	0.699154978	15.736810040	14.244607214	17.229012866	0.761327973
	"Arkansas"	"05"	"2019"	"2019"	388	3017804	12.857031139	11.577706087	14.136356191	0.652716863	13.549090697	12.171964665	14.926216729	0.702615322
