"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"2021"	"2021"	1408	5039877	27.937189737	26.477913665	29.396465809	0.744528608	30.053295215	28.450072516	31.656517915	0.817970765
	"Alabama"	"01"	"2022"	"2022"	1492	5074296	29.403093552	27.911107767	30.895079338	0.761217238	31.532632481	29.898541479	33.166723483	0.833719899
	"Alabama"	"01"	"2023 (provisional)"	"2023"	1608	5074296	31.689124954	30.140225253	33.238024656	0.790254950	34.130618317	32.424683608	35.836553026	0.870374852
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	291	5074296	5.734785673	5.075874657	6.393696689	0.336179090	6.128855582	5.408049035	6.849662130	0.367758443
"Total"	"Alabama"	"01"			4799	20262765	23.683835844	23.013746458	24.353925229	0.341882340	25.440367189	24.704759998	26.175974380	0.375309791
	"Alaska"	"02"	"2021"	"2021"	260	732673	35.486499434	31.172972066	39.800026802	2.200779269	35.640354356	31.235777888	40.044930825	2.247232892
	"Alaska"	"02"	"2022"	"2022"	254	733583	34.624575542	30.366398921	38.882752163	2.172539092	34.284643790	29.994498317	38.574789263	2.188849731
	"Alaska"	"02"	"2023 (provisional)"	"2023"	359	733583	48.937884329	43.875512542	54.000256117	2.582842749	49.638512123	44.425859529	54.851164717	2.659516630
	"Alaska"	"02"	"2024 (provisional and partial)"	"2024"	98	733583	13.359088201	10.845575756	16.280453609	1.349471694	12.992773762	10.499460477	15.899906892	1.336742114
"Total"	"Alaska"	"02"			971	2933422	33.101272166	31.019222230	35.183322103	1.062270376	33.124770685	31.006741473	35.242799897	1.080627149
	"Arizona"	"04"	"2021"	"2021"	2730	7276316	37.518986256	36.111559370	38.926413143	0.718074942	38.741028640	37.258273015	40.223784266	0.756507972
	"Arizona"	"04"	"2022"	"2022"	2664	7359197	36.199601669	34.824949717	37.574253619	0.701353036	37.222673649	35.778090968	38.667256331	0.737031980
	"Arizona"	"04"	"2023 (provisional)"	"2023"	2624	7359197	35.656064106	34.291771398	37.020356814	0.696067708	36.506241845	35.076562132	37.935921557	0.729428425
