"state";"Joinpoint Model";"AAPC Index";"Start Obs";"End Obs";"AAPC";"AAPC C.I. Low";"AAPC C.I. High";"Statistically Significant (0=No  1=Yes)";"Test Statistic";"P-Value"
"Alabama";3;"Full Range";1999;2019;7.560;2.780;12.561;1;3.143;0.00167
"Alaska";0;"Full Range";1999;2019;3.321;1.899;4.763;1;4.935;0.00009
"Arizona";1;"Full Range";1999;2019;4.533;3.599;5.475;1;9.684;0.00000
"Arkansas";1;"Full Range";1999;2019;6.390;4.790;8.014;1;8.011;0.00000
"California";0;"Full Range";1999;2019;3.114;2.076;4.163;1;6.342;0.00000
"Colorado";1;"Full Range";1999;2019;4.161;3.214;5.116;1;8.751;0.00000
"Connecticut";2;"Full Range";1999;2019;7.027;4.534;9.580;1;5.647;0.00000
"Delaware";1;"Full Range";1999;2019;10.734;8.784;12.718;1;11.252;0.00000
"District of Columbia";1;"Full Range";1999;2019;6.270;1.161;11.636;1;2.419;0.01556
"Florida";3;"Full Range";1999;2019;5.617;0.584;10.902;1;2.194;0.02826
"Georgia";3;"Full Range";1999;2019;6.876;4.512;9.294;1;5.826;0.00000
"Hawaii";0;"Full Range";1999;2019;4.706;3.858;5.561;1;11.838;0.00000
"Idaho";3;"Full Range";1999;2019;5.826;1.305;10.549;1;2.542;0.01102
"Illinois";2;"Full Range";1999;2019;6.040;2.982;9.189;1;3.928;0.00009
"Indiana";3;"Full Range";1999;2019;11.237;9.391;13.114;1;12.471;0.00000
"Iowa";1;"Full Range";1999;2019;9.161;7.638;10.706;1;12.226;0.00000
"Kansas";1;"Full Range";1999;2019;6.862;4.951;8.807;1;7.209;0.00000
"Kentucky";2;"Full Range";1999;2019;9.760;6.465;13.156;1;5.989;0.00000
"Louisiana";2;"Full Range";1999;2019;9.566;6.691;12.518;1;6.735;0.00000
"Maine";3;"Full Range";1999;2019;9.561;5.903;13.345;1;5.270;0.00000
"Maryland";2;"Full Range";1999;2019;6.157;3.299;9.095;1;4.290;0.00002
"Massachusetts";3;"Full Range";1999;2019;7.232;3.425;11.178;1;3.786;0.00015
"Michigan";3;"Full Range";1999;2019;8.192;5.791;10.648;1;6.876;0.00000
"Minnesota";1;"Full Range";1999;2019;8.486;6.800;10.197;1;10.196;0.00000
"Mississippi";1;"Full Range";1999;2019;5.762;4.254;7.291;1;7.646;0.00000
"Missouri";1;"Full Range";1999;2019;9.008;7.006;11.047;1;9.121;0.00000
"Montana";2;"Full Range";1999;2019;5.617;2.426;8.909;1;3.491;0.00048
"Nebraska";1;"Full Range";1999;2019;5.267;3.476;7.089;1;5.862;0.00000
"Nevada";1;"Full Range";1999;2019;2.669;1.729;3.618;1;5.613;0.00000
"New Hampshire";3;"Full Range";1999;2019;11.413;5.756;17.373;1;4.065;0.00005
"New Jersey";1;"Full Range";1999;2019;7.676;5.429;9.970;1;6.874;0.00000
"New Mexico";1;"Full Range";1999;2019;3.344;2.209;4.492;1;5.838;0.00000
"New York";0;"Full Range";1999;2019;8.398;7.162;9.647;1;14.724;0.00000
"North Carolina";3;"Full Range";1999;2019;7.715;5.652;9.819;1;7.530;0.00000
"Ohio";2;"Full Range";1999;2019;9.851;5.061;14.859;1;4.131;0.00004
"Oklahoma";1;"Full Range";1999;2019;6.235;4.275;8.233;1;6.365;0.00000
"Oregon";1;"Full Range";1999;2019;3.873;2.633;5.129;1;6.199;0.00000
"Pennsylvania";2;"Full Range";1999;2019;7.291;4.787;9.854;1;5.842;0.00000
"Rhode Island";0;"Full Range";1999;2019;7.405;6.240;8.583;1;13.706;0.00000
"South Carolina";2;"Full Range";1999;2019;8.867;6.282;11.514;1;6.930;0.00000
"Tennessee";2;"Full Range";1999;2019;8.811;7.487;10.151;1;13.525;0.00000
"Texas";1;"Full Range";1999;2019;3.870;2.574;5.182;1;5.929;0.00000
"Utah";2;"Full Range";1999;2019;3.410;0.743;6.147;1;2.516;0.01188
"Vermont";1;"Full Range";1999;2019;7.441;4.876;10.069;1;5.821;0.00000
"Virginia";2;"Full Range";1999;2019;6.808;2.459;11.341;1;3.106;0.00190
"Washington";2;"Full Range";1999;2019;2.374;-0.668;5.510;0;1.524;0.12744
"West Virginia";0;"Full Range";1999;2019;9.870;8.022;11.749;1;11.616;0.00000
"Wisconsin";3;"Full Range";1999;2019;8.655;6.368;10.990;1;7.650;0.00000
"Wyoming";1;"Full Range";1999;2019;5.172;2.464;7.951;1;3.789;0.00015
"US";3;"Full Range";1999;2019;6.647;5.387;7.922;1;10.613;0.00000
