"state";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"Alabama";3;0;1999;2003;3.127;-9.644;17.704;0;0.519;0.61506
"Alabama";3;1;2003;2008;22.656;11.503;34.925;1;4.773;0.00075
"Alabama";3;2;2008;2011;-2.876;-23.666;23.578;0;-0.270;0.79273
"Alabama";3;3;2011;2019;5.137;2.578;7.761;1;4.529;0.00109
"Alaska";0;0;1999;2019;3.321;1.899;4.763;1;4.935;0.00009
"Arizona";1;0;1999;2016;3.736;3.153;4.323;1;13.798;0.00000
"Arizona";1;1;2016;2019;9.165;3.192;15.484;1;3.304;0.00448
"Arkansas";1;0;1999;2006;14.599;9.901;19.497;1;6.902;0.00000
"Arkansas";1;1;2006;2019;2.216;1.067;3.379;1;4.108;0.00082
"California";0;0;1999;2019;3.114;2.076;4.163;1;6.342;0.00000
"Colorado";1;0;1999;2007;7.802;5.540;10.112;1;7.510;0.00000
"Colorado";1;1;2007;2019;1.802;0.947;2.664;1;4.491;0.00037
"Connecticut";2;0;1999;2012;2.351;0.833;3.892;1;3.359;0.00513
"Connecticut";2;1;2012;2016;23.420;11.212;36.968;1;4.365;0.00077
"Connecticut";2;2;2016;2019;7.410;-0.924;16.445;0;1.912;0.07815
"Delaware";1;0;1999;2014;7.886;5.945;9.861;1;8.866;0.00000
"Delaware";1;1;2014;2019;19.737;13.418;26.408;1;7.043;0.00000
"District of Columbia";1;0;1999;2011;-1.756;-8.346;5.308;0;-0.541;0.59611
"District of Columbia";1;1;2011;2019;19.553;10.023;29.908;1;4.558;0.00032
"Florida";3;0;1999;2009;7.967;5.065;10.950;1;6.268;0.00009
"Florida";3;1;2009;2013;-10.356;-22.328;3.460;0;-1.699;0.12008
"Florida";3;2;2013;2016;24.751;-6.117;65.767;0;1.733;0.11369
"Florida";3;3;2016;2019;3.400;-7.051;15.026;0;0.699;0.50044
"Georgia";3;0;1999;2001;31.378;7.394;60.718;1;3.017;0.01297
"Georgia";3;1;2001;2006;8.434;3.689;13.395;1;4.032;0.00239
"Georgia";3;2;2006;2017;4.037;3.167;4.914;1;10.498;0.00000
"Georgia";3;3;2017;2019;-2.757;-11.744;7.144;0;-0.642;0.53501
"Hawaii";0;0;1999;2019;4.706;3.858;5.561;1;11.838;0.00000
"Idaho";3;0;1999;2002;20.819;4.006;40.349;1;2.812;0.01840
"Idaho";3;1;2002;2005;-3.902;-26.385;25.448;0;-0.333;0.74620
