"state";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"Alabama";3;21;8;13;41.512135;3.193241;Uncorrelated;0;NA;NA;NA;-60.118077;118.704257;-0.506453;0.623517;0.030794;0.059335;0.518992;0.615057;NA;NA;NA;NA;14090.700623;0.000000;47192.531618;1.000000;0.000000;1.000000
"Alabama";3;21;8;13;41.512135;3.193241;Uncorrelated;1;2003;2001;2010;-407.479124;85.816469;-4.748263;0.000782;0.204215;0.042785;4.773056;0.000754;0.173420;0.073151;2.370702;0.039230;0.003521;0.000000;0.011687;1.000000;0.000000;1.000000
"Alabama";3;21;8;13;41.512135;3.193241;Uncorrelated;2;2008;2004;2014;61.173024;217.238421;0.281594;0.783996;-0.029178;0.108108;-0.269897;0.792727;-0.233393;0.116266;-2.007400;0.072488;7364.466301;0.000000;497.112538;1.000000;0.000000;1.000000
"Alabama";3;21;8;13;41.512135;3.193241;Uncorrelated;3;2011;2007;2017;-98.250904;22.296021;-4.406656;0.001321;0.050098;0.011061;4.529224;0.001093;0.079276;0.108672;0.729497;0.482435;0.001831;0.000000;0.000122;1.000000;0.000000;1.000000
"Alaska";0;21;2;19;53.856824;2.834570;Uncorrelated;0;NA;NA;NA;-63.021379;13.311583;-4.734327;0.000144;0.032674;0.006621;4.934826;0.000092;NA;NA;NA;NA;177.198235;-0.088136;0.000044;1.000000;-0.999996;1.000000
"Arizona";1;21;4;17;37.088861;2.181698;Uncorrelated;0;NA;NA;NA;-70.937954;5.339160;-13.286351;0.000000;0.036683;0.002659;13.798156;0.000000;NA;NA;NA;NA;28.506630;0.000000;2869.442741;1.000000;0.000000;1.000000
"Arizona";1;21;4;17;37.088861;2.181698;Uncorrelated;1;2016;2013;2017;-173.771195;53.567180;-3.243986;0.005085;0.087691;0.026544;3.303654;0.004485;0.051009;0.026677;1.912114;0.073938;0.000007;0.000000;0.000705;1.000000;0.000000;1.000000
"Arkansas";1;21;4;17;31.665251;1.862662;Uncorrelated;0;NA;NA;NA;-270.931576;39.537541;-6.852515;0.000004;0.136266;0.019743;6.901844;0.000004;NA;NA;NA;NA;1563.217139;0.000000;115.402134;1.000000;0.000000;1.000000
"Arkansas";1;21;4;17;31.665251;1.862662;Uncorrelated;1;2006;2004;2009;-41.553192;10.742539;-3.868098;0.001362;0.021920;0.005336;4.108105;0.000822;-0.114346;0.020452;-5.591016;0.000041;0.000390;0.000000;0.000028;1.000000;0.000000;1.000000
"California";0;21;2;19;1189.096491;62.584026;Uncorrelated;0;NA;NA;NA;-59.308719;9.720457;-6.101433;0.000007;0.030664;0.004835;6.342464;0.000004;NA;NA;NA;NA;94.487283;-0.046995;0.000023;1.000000;-0.999996;1.000000
"Colorado";1;21;4;17;32.667645;1.921626;Uncorrelated;0;NA;NA;NA;-148.128987;20.035736;-7.393239;0.000002;0.075125;0.010003;7.510278;0.000001;NA;NA;NA;NA;401.430723;0.000000;64.165222;1.000000;0.000000;1.000000
"Colorado";1;21;4;17;32.667645;1.921626;Uncorrelated;1;2007;2004;2009;-33.202082;8.010320;-4.144913;0.000761;0.017862;0.003977;4.490835;0.000370;-0.057263;0.010765;-5.319479;0.000069;0.000100;0.000000;0.000016;1.000000;0.000000;1.000000
"Connecticut";2;21;6;15;43.250220;2.883348;Uncorrelated;0;NA;NA;NA;-44.272804;13.872596;-3.191386;0.007084;0.023236;0.006918;3.358785;0.005133;NA;NA;NA;NA;192.448929;0.000000;0.002324;1.000000;0.000000;1.000000
"Connecticut";2;21;6;15;43.250220;2.883348;Uncorrelated;1;2012;2009;2013;-420.892830;97.099918;-4.334636;0.000810;0.210423;0.048210;4.364719;0.000766;0.187187;0.048704;3.843374;0.002033;0.000048;0.000000;5691.923807;1.000000;0.000000;1.000000
"Connecticut";2;21;6;15;43.250220;2.883348;Uncorrelated;2;2016;2014;2017;-140.797150;75.444839;-1.866226;0.084727;0.071487;0.037385;1.912162;0.078146;-0.138936;0.061007;-2.277384;0.040314;9428.394145;0.000000;0.001398;1.000000;0.000000;1.000000
"Delaware";1;21;4;17;30.011329;1.765372;Uncorrelated;0;NA;NA;NA;-149.842074;17.185846;-8.718923;0.000000;0.075901;0.008561;8.866228;0.000000;NA;NA;NA;NA;295.353295;0.000000;2662.246784;1.000000;0.000000;1.000000
"Delaware";1;21;4;17;30.011329;1.765372;Uncorrelated;1;2014;2011;2016;-359.751040;51.596965;-6.972329;0.000003;0.180126;0.025577;7.042612;0.000003;0.104225;0.026971;3.864304;0.001373;0.000073;0.000000;0.000654;1.000000;0.000000;1.000000
"District of Columbia";1;21;4;17;151.807166;8.929833;Uncorrelated;0;NA;NA;NA;38.089357;65.649148;0.580196;0.569864;-0.017713;0.032755;-0.540783;0.596107;NA;NA;NA;NA;4309.810672;0.000000;6243.760740;1.000000;0.000000;1.000000
