"state";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"Alabama";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Alabama";1;1;3;3;   4;  13;4500;       0.0102222;       0.0250000
"Alabama";2;2;3;3;   2;  13;4500;       0.0466667;       0.0500000
"Alaska";0;0;3;0;   6;  13;4500;       0.3233333;       0.0166667
"Alaska";1;0;2;0;   4;  15;4500;       0.3535556;       0.0166667
"Alaska";2;0;1;0;   2;  17;4500;       0.1280000;       0.0166667
"Arizona";0;0;3;0;   6;  13;4500;       0.0195556;       0.0166667
"Arizona";1;0;2;2;   4;  15;4500;       0.0046667;       0.0166667
"Arizona";2;1;2;1;   2;  15;4500;       0.1000000;       0.0250000
"Arkansas";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Arkansas";1;1;3;1;   4;  13;4500;       0.0431111;       0.0250000
"Arkansas";2;1;2;1;   2;  15;4500;       0.2422222;       0.0250000
"California";0;0;3;0;   6;  13;4500;       0.1553333;       0.0166667
"California";1;0;2;0;   4;  15;4500;       0.2897778;       0.0166667
"California";2;0;1;0;   2;  17;4500;       0.5002222;       0.0166667
"Colorado";0;0;3;3;   6;  13;4500;       0.0017778;       0.0166667
"Colorado";1;1;3;1;   4;  13;4500;       0.8051111;       0.0250000
"Colorado";2;1;2;1;   2;  15;4500;       0.5466667;       0.0250000
"Connecticut";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Connecticut";1;1;3;1;   4;  13;4500;       0.0295556;       0.0250000
"Connecticut";2;1;2;2;   2;  15;4500;       0.0111111;       0.0250000
"Delaware";0;0;3;3;   6;  13;4500;       0.0013333;       0.0166667
"Delaware";1;1;3;1;   4;  13;4500;       0.1751111;       0.0250000
"Delaware";2;1;2;1;   2;  15;4500;       0.7893333;       0.0250000
"District of Columbia";0;0;3;3;   6;  13;4500;       0.0022222;       0.0166667
"District of Columbia";1;1;3;1;   4;  13;4500;       0.1011111;       0.0250000
"District of Columbia";2;1;2;1;   2;  15;4500;       0.0948889;       0.0250000
"Florida";0;0;3;3;   6;  13;4500;       0.0008889;       0.0166667
"Florida";1;1;3;3;   4;  13;4500;       0.0002222;       0.0250000
"Florida";2;2;3;3;   2;  13;4500;       0.0197778;       0.0500000
"Georgia";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Georgia";1;1;3;3;   4;  13;4500;       0.0044444;       0.0250000
"Georgia";2;2;3;3;   2;  13;4500;       0.0337778;       0.0500000
"Hawaii";0;0;3;0;   6;  13;4500;       0.3273333;       0.0166667
"Hawaii";1;0;2;0;   4;  15;4500;       0.2015556;       0.0166667
"Hawaii";2;0;1;0;   2;  17;4500;       0.6853333;       0.0166667
"Idaho";0;0;3;3;   6;  13;4500;       0.0060000;       0.0166667
"Idaho";1;1;3;3;   4;  13;4500;       0.0148889;       0.0250000
"Idaho";2;2;3;3;   2;  13;4500;       0.0491111;       0.0500000
"Illinois";0;0;3;3;   6;  13;4500;       0.0006667;       0.0166667
"Illinois";1;1;3;1;   4;  13;4500;       0.0431111;       0.0250000
"Illinois";2;1;2;2;   2;  15;4500;       0.0157778;       0.0250000
"Indiana";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Indiana";1;1;3;3;   4;  13;4500;       0.0006667;       0.0250000
"Indiana";2;2;3;3;   2;  13;4500;       0.0002222;       0.0500000
"Iowa";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Iowa";1;1;3;1;   4;  13;4500;       0.6704444;       0.0250000
"Iowa";2;1;2;1;   2;  15;4500;       0.6220000;       0.0250000
"Kansas";0;0;3;3;   6;  13;4500;       0.0004444;       0.0166667
"Kansas";1;1;3;1;   4;  13;4500;       0.4833333;       0.0250000
"Kansas";2;1;2;1;   2;  15;4500;       0.6362222;       0.0250000
"Kentucky";0;0;3;3;   6;  13;4500;       0.0006667;       0.0166667
"Kentucky";1;1;3;1;   4;  13;4500;       0.0517778;       0.0250000
